start_x,start_y,end_x,end_y,most_left,most_right,most_down,most_up,clean,priority,oneway
-75.6828261,45.4172784,-75.6831425,45.4178474,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.7131046,45.4299136,-75.7133334,45.4299305,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6932062,45.4149164,-75.6929126,45.4145778,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,True
-75.7163885,45.4262574,-75.7181414,45.4261896,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6555092,45.4221744,-75.6571396,45.4220378,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6601498,45.4246297,-75.6621937,45.4244795,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6980406,45.4173166,-75.6975099,45.4167001,-75.7299279,-75.6515738,45.4068347,45.4308387,False,2,False
-75.6555716,45.411873,-75.6556816,45.4118884,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,True
-75.6888468,45.4097709,-75.6882715,45.4092192,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,True
-75.6745385,45.4288322,-75.6754168,45.4284618,-75.7299279,-75.6515738,45.4068347,45.4308387,False,4,False
-75.706157,45.4199182,-75.7062193,45.4199925,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,False
-75.7075189,45.4107042,-75.7064839,45.4089348,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.673431,45.4081803,-75.6735321,45.4088177,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,True
-75.6995261,45.4149744,-75.6991189,45.4151421,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,True
-75.6824628,45.4276314,-75.6829823,45.4282481,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.7184409,45.4144995,-75.7288778,45.4107294,-75.7299279,-75.6515738,45.4068347,45.4308387,False,1,True
-75.6766484,45.4192272,-75.6763034,45.4194039,-75.7299279,-75.6515738,45.4068347,45.4308387,False,4,True
-75.7018846,45.4184348,-75.7023826,45.4190266,-75.7299279,-75.6515738,45.4068347,45.4308387,False,3,True
-75.6926053,45.4104374,-75.69284,45.4108436,-75.7299279,-75.6515738,45.4068347,45.4308387,False,2,False
-75.6783197,45.4301937,-75.676763,45.4308387,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
-75.6527801,45.4280278,-75.6529087,45.4288296,-75.7299279,-75.6515738,45.4068347,45.4308387,False,5,False
